station_name,total_count
Dufferin St / Bloor St,7874.0
Dufferin St / Finch Hydro Recreational Trail,2138.0
Dufferin St / Sylvan Av (Dufferin Grove Park),17027.0
Dundas St E / Boulton Ave - SMART,95199.0
Dundas St E / Broadview Ave,30858.0
Dundas St E / George St,6383.0
Dundas St E / Parliament St,47081.0
Dundas St E / Pembroke St - SMART,49379.0
Dundas St E / Regent Park Blvd,70813.0
Dundas St E / Victoria St,13088.0
Dundas St W / Crawford St,97676.0
Dundas St W / Edna Ave,8143.0
Dundas St W / Roncesvalles Green P - SMART,6758.0
Dundas St W / St. Patrick St,91524.0
Dundas St W / Watkinson Ave - SMART,20115.0
Dundas St W / Yonge St,79627.0
Dundonald St / Church St,79739.0
Dupont St / Emerson Ave SMART,40216.0
Durie St / Dundas St W - SMART,1005.0
E.T. Seton Park (Eglinton Ave E / Leslie St),16048.0
East Liberty St / Pirandello St,65041.0
East Lynn Ave / Danforth Ave,1259.0
Eastern Ave / Winnifred Ave,37336.0
Eastwood Rd / Coxwell Ave - SMART,22340.0
Eastwood Rd / Woodbine Ave - SMART,5874.0
Edward St / Yonge St,45350.0
Eglinton Ave E / Redpath Ave,4153.0
Eglinton Ave W / Henning Ave SMART,5819.0
Eglinton Ave W / Scarlett Rd,2644.0
Elizabeth St / Edward St (Bus Terminal),98001.0
Ellis Ave / The Queensway,10114.0
Elm St/ University Ave (East),4067.0
Elwood Blvd / Avenue Rd - SMART,394.0
Emerson Ave / Bloor St W - SMART,4535.0
Erskine Ave / Yonge St SMART,4929.0
Essex St / Christie St - SMART,67208.0
Esther Shiner Stadium,2343.0
Euclid Ave / Bloor St W,22059.0
Euclid Ave / Herrick St - SMART,2438.0
Exhibition GO (Atlantic Ave),8485.0
Exhibition GO Station,18163.0
Fairmount Park - SMART,772.0
Fennings St / Queen St W - SMART,2612.0
Finch West Subway Station,1976.0
Fleet St / Bathurst St,50839.0
Fleet St / Garrison Rd (Fort York),10289.0
Fleming Cres / Bayview Ave - SMART,2387.0
Florence Gell Park,565.0
Fort York  Blvd / Capreol Ct,62008.0
Fort York Blvd / Bathurst St SMART,14989.0
Fort York Blvd / Garrison Rd,85600.0
Foster Pl / Elizabeth St - SMART,7496.0
Frederick St / King St E,70239.0
Frederick St / The Esplanade,6529.0
Frobisher Ave / Lascelles Blvd,85772.0
Front St / Simcoe St,52296.0
Front St E / Bayview Avenue,12482.0
Front St E / Cherry St,13541.0
Front St E / Scott St,52153.0
Front St W / Bay St (North Side),11911.0
Front St W / Bay St (South Side),10479.0
Front St W / Blue Jays Way,96087.0
Front St W / University Ave (1),9183.0
Front St W / University Ave (2),13124.0
Front St W / Yonge St (Hockey Hall of Fame),28656.0
Fulton Ave / Pape Ave - SMART,7324.0
G Ross Lord Park,3510.0
Gailbraith Rd / King’s College Cr. (U of T),7525.0
Gamble Ave / Broadview Ave,5828.0
Garden Ave / Roncesvalles Ave,9506.0
George St / King St E,60509.0
Gerrard Square Mall (1010 Gerrard St E),35786.0
Gerrard St E / Broadview - SMART,15074.0
Gerrard St E / Leslie St - SMART,12595.0
Gerrard St E / Malvern Ave - SMART,4910.0
Gerrard St E / River St,12923.0
Gerrard St E / Ted Reeve Dr,10043.0
Gerrard St E / Victoria Park Ave - SMART,1971.0
Glebe Rd W / Yonge St - SMART,1613.0
Glen Edyth Dr / Davenport Rd,26439.0
Glendonwynne Ave / Bloor St W - SMART,48542.0
Glenwood Ave / Runnymede Rd - SMART,758.0
Goodwood Park Ct / Dentonia Park - SMART,4157.0
Gould St / Mutual St,65976.0
Gould St / Yonge St (Ryerson University),66472.0
Granby St / Church St - SMART,72006.0
Greenwood Subway Station,955.0
Guildwood GO Station (North),200.0
Guildwood GO Station (South),183.0
HTO Park (Queens Quay W),60298.0
Hanna Ave / Liberty St,28571.0
Harbord St / Clinton St,46743.0
Havelock St / Dufferin Park,34911.0
Hayter St / Laplante Ave,16232.0
High Park - Grenadier Cafe,7513.0
High Park - West Rd,9972.0
High Park Amphitheatre,11550.0
High Park Ave / Dundas St W,2058.0
High Park Outdoor Pool,4311.0
High Park Subway - SMART,76121.0
High Park Subway Station,24401.0
Highfield Rd / Gerrard St E,3494.0
Hillsdale Ave W / Yonge St - SMART,2662.0
Hocken Ave./Vaughan Rd.,62352.0
Holland Park Ave / Oakwood Ave,305.0
Housey St / Dan Leckie Way - SMART,12124.0
Howard Park Ave / Dundas St W - SMART,5816.0
Howard St / Rose Ave - SMART,60580.0
Howard St / Sherbourne St,26749.0
Hubbard Blvd / Balsam Av,11193.0
Hubbard Blvd. / Glen Manor Dr.,46357.0
Humber Bay Shores Park / Marine Parade Dr,29414.0
Humber Bay Shores Park East,57791.0
Humber Bay Shores Park West,81609.0
Humber College - SMART,3594.0
Humberside Grounds - SMART,44692.0
Huron/ Harbord St,20461.0
Isabella St / Church St,88436.0
Jameson Ave / Queen St W,3908.0
Jane St / Bloor St W (Jane Subway Station),6995.0
Jarvis St / Carlton St,39464.0
Jarvis St / Dundas St E,79530.0
Jarvis St / Isabella St,82229.0
Jarvis St / Maitland Pl,35628.0
Jarvis St / Richmond St E,35705.0
Jimmie Simpson Park (Queen St E),38086.0
John St  / Mercer St - SMART,54769.0
Joseph J Piccininni Community Centre,2020.0
Judson St / Royal York,465.0
Keele St / Annette St - SMART,4650.0
Keele St / Vine Ave - SMART,54049.0
Kendal Ave / Bernard Ave,35407.0
Kendal Ave / Spadina Rd,23102.0
Kew Beach Ave / Kenilworth Ave,23336.0
King / Cowan Ave - SMART,42966.0
King St E / Church St,27933.0
King St E / Jarvis St,70875.0
King St E / Ontario St.,19305.0
King St E / River St,82285.0
King St E / Victoria St,84366.0
King St W / Bay St (East Side),36243.0
King St W / Bay St (West Side),11208.0
King St W / Brant St,9644.0
King St W / Charlotte St (West),86752.0
King St W / Crawford St - SMART,68414.0
King St W / Douro St,61464.0
King St W / Fraser Ave,5797.0
King St W / Joe Shuster Way,75005.0
King St W / Jordan St,63913.0
King St W / Portland St,85433.0
King St W / Spadina Ave,14713.0
King St W / Stafford St,53558.0
King St W / Tecumseth St,29767.0
King St W / York St,29202.0
Kingston Rd / Beech Ave - SMART,1289.0
Lake Shore Blvd E / Knox Ave,22574.0
Lake Shore Blvd E / Leslie St,94158.0
Lake Shore Blvd W / Colborne Lodge Dr,23312.0
Lake Shore Blvd W / Ellis Ave,58594.0
Lake Shore Blvd W / Louisa St,4875.0
Lake Shore Blvd W / Ontario Dr,70414.0
Lake Shore Blvd W / The Boulevard Club,36658.0
Lake Shore Blvd W / Thirty Ninth Street,1069.0
Lake Shore Blvd W / Twenty Fourth St - SMART,1702.0
Lake Shore Blvd W / Windermere Ave,22677.0
Langford Ave / Danforth Ave - SMART,2352.0
Lansdowne Ave / Whytock Ave,4442.0
Lansdowne Subway Station,16960.0
Lascelles Blvd / Eglinton Ave W - SMART,10566.0
Lawton Blvd / Yonge St,38932.0
Lee Ave / Queen St E,5175.0
Liberty St / Fraser Ave Green P,5927.0
Lisgar Park,19172.0
Lisgar St / Dundas St SMART,87168.0
Little Norway Park,91104.0
